"","directorio","secuencia_p","orden","p6020","p6040","esc","fex_c_2011"
"50425",5187805,1,3,1,27,11,659.42178607459
"50426",5187805,1,4,2,56,11,659.42178607459
"50427",5187806,1,1,1,51,5,630.454062543966
"50428",5187806,1,2,2,53,11,630.454062543966
"50429",5187806,1,3,1,26,11,630.454062543966
"50430",5187806,1,4,2,21,11,630.454062543966
"50431",5187806,1,5,1,50,11,630.454062543966
"50432",5187807,1,1,1,29,13,594.169721150029
"50433",5187807,1,2,2,32,16,594.169721150029
"50434",5187808,1,1,1,60,16,606.476027400017
"50435",5187808,1,2,2,58,16,606.476027400017
"50436",5187808,1,3,1,33,16,606.476027400017
"50437",5187808,1,4,1,26,15,606.476027400017
"50438",5187808,1,5,2,19,13,606.476027400017
"50439",5187809,1,1,1,45,16,639.884406368233
"50440",5187809,1,2,2,47,11,639.884406368233
"50441",5187809,1,3,1,19,13,639.884406368233
"50442",5187809,1,4,1,70,3,639.884406368233
"50443",5187838,1,1,2,67,5,1124.86554990849
"50444",5187838,1,2,1,32,15,1124.86554990849
"50445",5187839,1,1,1,57,16,1125.85907838462
"50446",5187839,1,2,2,43,11,1125.85907838462
"50447",5187839,1,3,2,24,16,1125.85907838462
"50448",5187839,1,4,2,25,16,1125.85907838462
"50449",5187839,1,5,1,35,16,1125.85907838462
"50450",5187840,1,1,1,62,16,994.746358725764
"50451",5187840,1,2,2,18,11,994.746358725764
"50452",5187840,1,3,2,64,5,994.746358725764
"50453",5187840,1,4,2,68,5,994.746358725764
"50454",5187841,1,1,1,28,11,582.30552292287
"50455",5187843,1,1,1,49,9,582.30552292287
"50456",5187859,1,1,1,49,13,827.252429372531
"50457",5187859,1,2,2,41,13,827.252429372531
"50458",5187859,1,3,2,23,14,827.252429372531
"50459",5187860,1,1,1,70,5,1279.76881273647
"50460",5187860,1,2,2,37,11,1279.76881273647
"50461",5187860,1,3,1,53,16,1279.76881273647
"50462",5187860,1,4,1,12,6,1279.76881273647
"50463",5187861,1,1,1,45,11,267.282343303785
"50464",5187861,1,2,2,40,11,267.282343303785
"50465",5187861,1,3,2,19,11,267.282343303785
"50466",5187861,1,4,1,17,9,267.282343303785
"50467",5187862,1,1,1,56,11,1055.31820681937
"50468",5187862,1,2,2,58,11,1055.31820681937
"50469",5187863,1,1,2,55,9,506.581640622076
"50470",5187863,1,2,1,46,11,506.581640622076
"50471",5187863,1,3,1,21,15,506.581640622076
"50472",5187863,1,4,1,17,11,506.581640622076
"50473",5187864,1,1,1,46,16,1082.44792495091
"50474",5187864,1,2,2,40,16,1082.44792495091
"50475",5187864,1,3,2,12,6,1082.44792495091
"50476",5187865,1,1,1,46,5,574.19189354637
"50477",5187865,1,2,2,44,0,574.19189354637
"50478",5187865,1,3,1,23,9,574.19189354637
"50479",5187865,1,4,1,19,8,574.19189354637
"50480",5187865,1,5,1,15,7,574.19189354637
"50481",5187877,1,1,1,33,11,271.69863182811
"50482",5187877,1,2,2,30,9,271.69863182811
"50483",5187878,1,1,1,31,11,275.570762217336
"50484",5187878,1,2,2,32,11,275.570762217336
"50485",5187878,1,5,2,28,11,275.570762217336
"50486",5187879,1,1,2,32,11,1005.80430214134
"50487",5187880,1,1,1,31,11,1180.09956740265
"50488",5187880,1,2,2,29,14,1180.09956740265
