"","directorio","secuencia_p","orden","fecha","ocu","inac","deso"
"360",4804880,1,3,2019-01-01,1,0,0
"361",4804880,1,4,2019-01-01,1,0,0
"362",4804882,1,1,2019-01-01,1,0,0
"363",4804882,1,2,2019-01-01,0,1,0
"364",4804882,1,3,2019-01-01,0,1,0
"365",4804885,1,1,2019-01-01,1,0,0
"366",4804885,1,2,2019-01-01,1,0,0
"367",4804885,1,3,2019-01-01,0,1,0
"368",4804885,1,4,2019-01-01,0,1,0
"369",4804886,1,1,2019-01-01,1,0,0
"370",4804886,1,2,2019-01-01,1,0,0
"371",4804887,1,1,2019-01-01,0,1,0
"372",4804887,1,2,2019-01-01,0,1,0
"373",4804888,1,1,2019-01-01,1,0,0
"374",4804888,1,2,2019-01-01,1,0,0
"375",4804889,1,1,2019-01-01,1,0,0
"376",4804889,1,2,2019-01-01,1,0,0
"377",4804889,1,3,2019-01-01,0,1,0
"378",4804890,1,1,2019-01-01,1,0,0
"379",4804890,1,2,2019-01-01,1,0,0
"380",4804891,1,1,2019-01-01,0,1,0
"381",4804891,1,2,2019-01-01,0,0,1
"382",4804891,1,3,2019-01-01,1,0,0
"383",4804892,1,1,2019-01-01,1,0,0
"384",4804892,1,2,2019-01-01,0,1,0
"385",4804892,1,3,2019-01-01,0,1,0
"386",4804892,1,4,2019-01-01,0,1,0
"387",4804892,1,5,2019-01-01,0,1,0
"388",4804892,1,6,2019-01-01,1,0,0
"389",4804892,1,7,2019-01-01,1,0,0
"390",4804893,1,1,2019-01-01,0,1,0
"391",4804894,1,1,2019-01-01,1,0,0
"392",4804894,1,2,2019-01-01,0,1,0
"393",4804894,1,3,2019-01-01,1,0,0
"394",4804894,1,4,2019-01-01,0,1,0
"395",4804895,1,1,2019-01-01,1,0,0
"396",4804895,1,2,2019-01-01,1,0,0
"397",4804896,1,1,2019-01-01,0,1,0
"398",4804896,1,2,2019-01-01,1,0,0
"399",4804896,1,3,2019-01-01,1,0,0
"400",4804896,1,4,2019-01-01,1,0,0
"401",4804896,1,5,2019-01-01,1,0,0
"402",4804897,1,1,2019-01-01,1,0,0
"403",4804897,1,2,2019-01-01,1,0,0
"404",4804897,1,3,2019-01-01,1,0,0
"405",4804897,1,4,2019-01-01,1,0,0
"406",4804897,1,5,2019-01-01,1,0,0
"407",4804897,1,6,2019-01-01,0,1,0
"408",4804898,1,1,2019-01-01,1,0,0
"409",4804898,1,2,2019-01-01,1,0,0
"410",4804898,1,3,2019-01-01,1,0,0
"411",4804898,1,4,2019-01-01,1,0,0
"412",4804898,1,5,2019-01-01,0,1,0
"413",4804899,1,1,2019-01-01,1,0,0
"414",4804899,1,2,2019-01-01,0,1,0
"415",4804899,1,3,2019-01-01,0,1,0
"416",4804900,1,1,2019-01-01,1,0,0
"417",4804900,1,2,2019-01-01,1,0,0
"418",4804901,1,1,2019-01-01,1,0,0
"419",4804901,1,2,2019-01-01,1,0,0
"420",4804901,1,3,2019-01-01,0,0,1
"421",4804901,1,4,2019-01-01,1,0,0
"422",4804902,1,1,2019-01-01,0,0,1
"423",4804902,1,2,2019-01-01,0,1,0
"424",4804902,1,3,2019-01-01,0,1,0
"425",4804902,1,5,2019-01-01,0,0,1
"426",4804903,1,1,2019-01-01,1,0,0
"427",4804903,1,2,2019-01-01,0,1,0
"428",4804903,1,3,2019-01-01,0,1,0
"429",4804903,1,5,2019-01-01,0,1,0
"430",4804904,1,1,2019-01-01,1,0,0
"431",4804904,1,2,2019-01-01,1,0,0
"432",4804905,1,1,2019-01-01,1,0,0
"433",4804905,1,2,2019-01-01,1,0,0
"434",4804906,1,1,2019-01-01,1,0,0
"435",4804906,1,2,2019-01-01,0,1,0
"436",4804906,1,3,2019-01-01,1,0,0
"437",4804906,1,4,2019-01-01,0,1,0
"438",4804906,1,5,2019-01-01,0,1,0
"439",4804907,1,1,2019-01-01,0,1,0
"440",4804907,1,2,2019-01-01,1,0,0
"441",4804907,1,3,2019-01-01,1,0,0
"442",4804909,1,1,2019-01-01,1,0,0
"443",4804909,1,2,2019-01-01,0,1,0
"444",4804909,1,3,2019-01-01,0,1,0
"445",4804910,1,1,2019-01-01,1,0,0
"446",4804910,1,2,2019-01-01,0,1,0
"447",4804910,1,3,2019-01-01,0,1,0
"448",4804911,1,1,2019-01-01,0,1,0
"449",4804911,1,2,2019-01-01,0,1,0
"450",4804911,1,3,2019-01-01,0,1,0
"451",4804911,1,4,2019-01-01,1,0,0
"452",4804912,1,1,2019-01-01,1,0,0
"453",4804912,1,2,2019-01-01,0,1,0
"454",4804913,1,1,2019-01-01,1,0,0
"455",4804913,1,2,2019-01-01,0,1,0
"456",4804913,1,3,2019-01-01,0,1,0
"457",4804914,1,1,2019-01-01,1,0,0
"458",4804914,1,2,2019-01-01,0,1,0
"459",4804914,1,4,2019-01-01,1,0,0
"460",4804915,1,1,2019-01-01,0,1,0
"461",4804915,1,2,2019-01-01,0,1,0
"462",4804916,1,1,2019-01-01,1,0,0
"463",4804916,1,2,2019-01-01,1,0,0
"464",4804917,1,1,2019-01-01,1,0,0
"465",4804917,1,2,2019-01-01,0,1,0
"466",4804917,1,5,2019-01-01,1,0,0
